id,Code,Year,terciario_completo
1,USA,1970,11.39
2,USA,1975,13.3
3,USA,1980,16.74
4,USA,1985,18.51
5,USA,1990,20.71
6,USA,1995,20.4
7,USA,2000,22.97
8,USA,2005,22.39
9,USA,2010,26.76
10,GBR,1970,4.42
11,GBR,1975,5.53
12,GBR,1980,5.5
13,GBR,1985,6.22
14,GBR,1990,9
15,GBR,1995,11.1
16,GBR,2000,12.83
17,GBR,2005,13.77
18,GBR,2010,15.31
19,ITA,1970,1.25
20,ITA,1975,1.86
21,ITA,1980,1.92
22,ITA,1985,2.59
23,ITA,1990,3.53
24,ITA,1995,4.5
25,ITA,2000,4.99
26,ITA,2005,5.6
27,ITA,2010,6.84
28,FRA,1970,1.46
29,FRA,1975,3.89
30,FRA,1980,3.74
31,FRA,1985,4.86
32,FRA,1990,5.81
33,FRA,1995,7.2
34,FRA,2000,8.44
35,FRA,2005,8.71
36,FRA,2010,10.6
37,DEU,1970,1.59
38,DEU,1975,2.74
39,DEU,1980,3.28
40,DEU,1985,3.67
41,DEU,1990,7.56
42,DEU,1995,9.32
43,DEU,2000,10.48
44,DEU,2005,10.89
45,DEU,2010,13.14
46,JPN,1970,3.55
47,JPN,1975,5.66
48,JPN,1980,05.04
49,JPN,1985,10.76
50,JPN,1990,12.48
51,JPN,1995,14.28
52,JPN,2000,16.15
53,JPN,2005,17.88
54,JPN,2010,18.91
55,CAN,1970,9.66
56,CAN,1975,12.73
57,CAN,1980,14.93
58,CAN,1985,8.14
59,CAN,1990,9.93
60,CAN,1995,11.54
61,CAN,2000,13.89
62,CAN,2005,20.47
63,CAN,2010,22.67
64,RUS,1970,2.36
65,RUS,1975,04.02
66,RUS,1980,6.18
67,RUS,1985,9.81
68,RUS,1990,12.99
69,RUS,1995,13.3
70,RUS,2000,19.31
71,RUS,2005,21.77
72,RUS,2010,24.74
73,ARG,1970,2.52
74,ARG,1975,3.64
75,ARG,1980,3.43
76,ARG,1985,4.99
77,ARG,1990,5.77
78,ARG,1995,4.32
79,ARG,2000,3.1
80,ARG,2005,03.09
81,ARG,2010,2.87
82,AUS,1970,10.76
83,AUS,1975,11.6
84,AUS,1980,13.05
85,AUS,1985,13.21
86,AUS,1990,13.9
87,AUS,1995,15.87
88,AUS,2000,13.15
89,AUS,2005,15.63
90,AUS,2010,18.52
91,BRA,1970,1.24
92,BRA,1975,2.3
93,BRA,1980,2.79
94,BRA,1985,2.72
95,BRA,1990,03.03
96,BRA,1995,3.72
97,BRA,2000,3.7
98,BRA,2005,3.73
99,BRA,2010,5.63
100,CHN,1970,0.45
101,CHN,1975,0.46
102,CHN,1980,0.48
103,CHN,1985,0.82
104,CHN,1990,01.08
105,CHN,1995,1.97
106,CHN,2000,2.75
107,CHN,2005,2.73
108,CHN,2010,2.71
109,IND,1970,0.62
110,IND,1975,0.95
111,IND,1980,1.22
112,IND,1985,1.74
113,IND,1990,2.23
114,IND,1995,3.36
115,IND,2000,04.01
116,IND,2005,4.38
117,IND,2010,4.85
118,MEX,1970,1.55
119,MEX,1975,2.41
120,MEX,1980,3.36
121,MEX,1985,3.58
122,MEX,1990,3.87
123,MEX,1995,5.12
124,MEX,2000,6.84
125,MEX,2005,8.41
126,MEX,2010,9.81
127,IDN,1970,0.17
128,IDN,1975,0.24
129,IDN,1980,0.25
130,IDN,1985,0.81
131,IDN,1990,0.98
132,IDN,1995,1.15
133,IDN,2000,1.21
134,IDN,2005,2.67
135,IDN,2010,3.73
136,KOR,1970,3.16
137,KOR,1975,3.47
138,KOR,1980,4.76
139,KOR,1985,7.18
140,KOR,1990,9.4
141,KOR,1995,12.9
142,KOR,2000,19.08
143,KOR,2005,22.09
144,KOR,2010,30.04
145,SAU,1970,2.56
146,SAU,1975,3.12
147,SAU,1980,3.73
148,SAU,1985,4.71
149,SAU,1990,5.45
150,SAU,1995,6.15
151,SAU,2000,6.91
152,SAU,2005,6.5
153,SAU,2010,6.67
154,ZAF,1970,0.33
155,ZAF,1975,0.21
156,ZAF,1980,0.16
157,ZAF,1985,0.16
158,ZAF,1990,0.42
159,ZAF,1995,0.53
160,ZAF,2000,0.53
161,ZAF,2005,0.36
162,ZAF,2010,0.32
163,TUR,1970,0.74
164,TUR,1975,0.73
165,TUR,1980,1.58
166,TUR,1985,6.24
167,TUR,1990,5.78
168,TUR,1995,5.31
169,TUR,2000,4.91
170,TUR,2005,4.21
171,TUR,2010,5.28
172,ESP,1970,2.28
173,ESP,1975,3.3
174,ESP,1980,4.59
175,ESP,1985,4.57
176,ESP,1990,4.23
177,ESP,1995,08.01
178,ESP,2000,10.69
179,ESP,2005,13.53
180,ESP,2010,14.96
181,NOR,1970,2.91
182,NOR,1975,3.31
183,NOR,1980,4.38
184,NOR,1985,5.55
185,NOR,1990,7.85
186,NOR,1995,8.81
187,NOR,2000,10
188,NOR,2005,11.14
189,NOR,2010,12.16
190,URY,1970,1.54
191,URY,1975,2.13
192,URY,1980,2.65
193,URY,1985,3.38
194,URY,1990,4.22
195,URY,1995,5.46
196,URY,2000,4.5
197,URY,2005,3.67
198,URY,2010,3.5
199,ARE,1970,2.55
200,ARE,1975,2.5
201,ARE,1980,3.21
202,ARE,1985,4.75
203,ARE,1990,6.42
204,ARE,1995,8.66
205,ARE,2000,9.7
206,ARE,2005,09.01
207,ARE,2010,8.54
208,SWE,1970,3.75
209,SWE,1975,6.39
210,SWE,1980,7.88
211,SWE,1985,9.13
212,SWE,1990,10.61
213,SWE,1995,11.6
214,SWE,2000,13.51
215,SWE,2005,14.32
216,SWE,2010,14.93
217,PRT,1970,0.65
218,PRT,1975,01.06
219,PRT,1980,1.36
220,PRT,1985,2.19
221,PRT,1990,2.88
222,PRT,1995,3.77
223,PRT,2000,4.28
224,PRT,2005,03.04
225,PRT,2010,3.26
226,NZL,1970,6.72
227,NZL,1975,9.29
228,NZL,1980,12.47
229,NZL,1985,14.66
230,NZL,1990,16.71
231,NZL,1995,17.39
232,NZL,2000,17.86
233,NZL,2005,18.57
234,NZL,2010,15.5
235,GRC,1970,3.73
236,GRC,1975,5.26
237,GRC,1980,5.87
238,GRC,1985,8.74
239,GRC,1990,11.33
240,GRC,1995,12.76
241,GRC,2000,12.22
242,GRC,2005,19.3
243,GRC,2010,22.5
244,CHL,1970,2.65
245,CHL,1975,2.73
246,CHL,1980,2.68
247,CHL,1985,4.44
248,CHL,1990,6.23
249,CHL,1995,7.54
250,CHL,2000,8.33
251,CHL,2005,7.43
252,CHL,2010,5.92
253,NLD,1970,3.31
254,NLD,1975,4.79
255,NLD,1980,6.19
256,NLD,1985,7.84
257,NLD,1990,9.69
258,NLD,1995,11.38
259,NLD,2000,11.81
260,NLD,2005,13.63
261,NLD,2010,15.63
262,ISL,1970,2.72
263,ISL,1975,3.53
264,ISL,1980,4.62
265,ISL,1985,5.7
266,ISL,1990,6.94
267,ISL,1995,8.54
268,ISL,2000,10.71
269,ISL,2005,14.08
270,ISL,2010,17.89
