id,pais_id,year,esp_vida_salud_60
1,IND,2019,13.25
2,IDN,2019,13.35
3,ZAF,2019,13.86
4,SAU,2019,14.04
5,ARE,2019,14.47
6,RUS,2019,15.03
7,CHN,2019,15.92
8,MEX,2019,16.07
9,ARG,2019,16.27
10,BRA,2019,16.35
11,USA,2019,16.35
12,TUR,2019,16.6
13,URY,2019,16.64
14,GBR,2019,18.25
15,CHL,2019,18.37
16,GRC,2019,18.44
17,NLD,2019,18.44
18,NOR,2019,18.46
19,DEU,2019,18.47
20,NZL,2019,18.55
21,PRT,2019,18.65
22,SWE,2019,18.86
23,ITA,2019,18.91
24,AUS,2019,18.98
25,CAN,2019,18.99
26,ISL,2019,19.04
27,ESP,2019,19.2
28,FRA,2019,19.7
29,KOR,2019,19.81
30,JPN,2019,20.39
31,ZAF,2015,12.89
32,IND,2015,13.06
33,IDN,2015,13.18
34,SAU,2015,13.61
35,ARE,2015,14.09
36,RUS,2015,14.44
37,CHN,2015,15.63
38,BRA,2015,15.94
39,MEX,2015,16.11
40,TUR,2015,16.2
41,ARG,2015,16.24
42,USA,2015,16.51
43,URY,2015,16.8
44,DEU,2015,17.72
45,GBR,2015,17.86
46,CHL,2015,17.95
47,NLD,2015,18.12
48,GRC,2015,18.2
49,NZL,2015,18.25
50,PRT,2015,18.27
51,NOR,2015,18.28
52,SWE,2015,18.5
53,AUS,2015,18.63
54,ITA,2015,18.64
55,ESP,2015,18.79
56,CAN,2015,18.83
57,ISL,2015,18.87
58,KOR,2015,18.97
59,FRA,2015,19.48
60,JPN,2015,20.04
61,ZAF,2010,12.33
62,IND,2010,12.57
63,SAU,2010,12.98
64,IDN,2010,13.02
65,RUS,2010,13.37
66,ARE,2010,14.12
67,CHN,2010,14.91
68,BRA,2010,15.61
69,MEX,2010,15.92
70,TUR,2010,15.94
71,ARG,2010,16
72,USA,2010,16.46
73,URY,2010,16.48
74,CHL,2010,17.18
75,NOR,2010,17.64
76,PRT,2010,17.64
77,GBR,2010,17.78
78,DEU,2010,17.79
79,NLD,2010,18.05
80,GRC,2010,18.06
81,KOR,2010,18.22
82,NZL,2010,18.26
83,SWE,2010,18.28
84,AUS,2010,18.39
85,ISL,2010,18.39
86,ITA,2010,18.44
87,ESP,2010,18.52
88,CAN,2010,18.55
89,FRA,2010,19.32
90,JPN,2010,19.69
91,IND,2000,11.33
92,ZAF,2000,11.88
93,RUS,2000,12.26
94,SAU,2000,12.4
95,IDN,2000,12.97
96,ARE,2000,13.59
97,CHN,2000,14.03
98,BRA,2000,14.76
99,ARG,2000,15.65
100,USA,2000,15.72
101,MEX,2000,15.81
102,KOR,2000,15.94
103,URY,2000,16.01
104,PRT,2000,16.25
105,GBR,2000,16.26
106,TUR,2000,16.34
107,CHL,2000,16.38
108,NLD,2000,16.62
109,NOR,2000,16.68
110,GRC,2000,16.76
111,DEU,2000,16.78
112,NZL,2000,16.88
113,ITA,2000,17.07
114,ESP,2000,17.29
115,AUS,2000,17.31
116,CAN,2000,17.32
117,SWE,2000,17.4
118,ISL,2000,17.42
119,FRA,2000,17.98
120,JPN,2000,18.74
