alfa2,nombre_espanol,nombre_ingles,alfa3,latitud,longitud
DE,ALEMANIA,Germany,DEU,51,9
SA,ARABIA SAUDITA,Saudi Arabia,SAU,25,45
AR,ARGENTINA,Argentina,ARG,-34,-64
AU,AUSTRALIA,Australia,AUS,-27,133
BR,BRASIL,Brazil,BRA,-10,-55
CA,CANADÁ,Canada,CAN,60,-95
CL,CHILE,Chile,CHL,-30,-71
CN,CHINA,China,CHN,35,105
KR,COREA DEL SUR,Korea,KOR,37,127.5
AE,EMIRATOS ÁRABES UNIDOS,United Arab Emirates ,ARE,24,54
ES,ESPAÑA,Spain,ESP,40,-4
US,ESTADOS UNIDOS,United States of America ,USA,38,-97
FR,FRANCIA,France,FRA,46,2
GR,GRECIA,Greece,GRC,39,22
IN,INDIA,India,IND,17,77
ID,INDONESIA,Indonesia,IDN,-5,120
IS,ISLANDIA,Iceland,ISL,65,-18
IT,ITALIA,Italy,ITA,428.333,12.8333
JP,JAPÓN,Japan,JPN,36,138
MX,MÉXICO,Mexico,MEX,23,-102
NO,NORUEGA,Norway,NOR,62,10
NZ,NUEVA ZELANDA,New Zealand,NZL,-41,174
NL,PAÍSES BAJOS,Netherlands ,NLD,52.5,5.75
PT,PORTUGAL,Portugal,PRT,39.5,-8
GB,REINO UNIDO,United Kingdom of Great Britain and Northern Ireland ,GBR,54,-2
RU,RUSIA,Russian Federation ,RUS,60,100
ZA,SUDÁFRICA,South Africa,ZAF,-29,24
SE,SUECIA,Sweden,SWE,62,15
TR,TURQUÍA,Turkey,TUR,39,35
UY,URUGUAY,Uruguay,URY,-33,-56
